title,authors,average_rating,# num_pages,ratings_count,text_reviews_count
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,320,5629932,70390
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,352,6267,272
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,435,2149872,33964
Harry Potter and the Goblet of Fire (Harry Potter  #4),J.K. Rowling,4.55,636,18097,860
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,870,1996446,27613
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,652,1944099,26249
Harry Potter and the Deathly Hallows (Harry Potter #7),J.K. Rowling-Mary GrandPré,4.62,759,2370049,60012
