title,authors,average_rating,# num_pages,ratings_count,text_reviews_count
A Game of Thrones (A Song of Ice and Fire  #1),George R.R. Martin,4.45,848,1598396,37379
A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin-Lauren Cannon,4.41,969,599010,15978
A Storm of Swords (A Song of Ice and Fire #3),George R.R. Martin,4.54,1177,608390,21193
A Feast for Crows (A Song of Ice and Fire  #4),George R.R. Martin,4.13,1061,491147,16606
A Dance with Dragons (A Song of Ice and Fire #5),George R.R. Martin,4.32,1125,502760,21489 
